Sample	Chromosome	Start	End	Num_Probes	Segment_Mean
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	3301765	5813342	1780	-0.6713
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	5819072	5819712	2	-3.1827
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	5820228	10536656	2417	-0.677
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	10536996	10539506	2	-2.5567
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	10542270	11130589	281	-0.6689
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	11131175	13605512	972	0.2264
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	13605598	15243216	1318	0.2968
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	15245637	23019076	4337	0.2466
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	23022239	23473390	260	-0.6431
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	23476044	23481085	3	-2.458
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	23482299	24126203	233	-0.682
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	24126273	24126588	2	-2.7119
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	24128198	27910171	1648	-0.6788
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	27910574	29427921	619	0.1533
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	29427998	31021628	1084	0.2533
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	31022066	31576149	278	0.1788
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	31583793	31790485	104	-0.7194
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	31800372	33324926	612	0.1851
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	33327162	34833971	1074	0.2864
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	34834563	47175303	6462	0.2338
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	47175369	50644281	1977	0.317
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	50644702	53098249	1047	0.2384
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	53098914	55120689	1291	0.2944
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	55123546	88514247	21729	0.3691
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	88514867	94086154	3210	0.3313
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	94086758	108480801	8333	0.3682
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	108481648	115300189	4218	0.2973
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	115300286	119969243	2920	0.3385
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	119974504	150768248	318	0.2166
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	150768299	150798513	2	1.3106
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	150802958	151644442	333	0.176
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	151645489	154835459	1735	0.2761
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	154837554	156932467	915	0.1974
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	156932489	160055940	2083	0.3082
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	160056150	162010712	1078	0.2517
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	162011771	186839527	16568	0.3287
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	186839932	198387041	6710	0.3705
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	198387389	201575751	2109	0.3285
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	201576072	207320256	3555	0.2665
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	207321071	213692012	4447	0.3314
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	213694064	222184468	5901	0.3602
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	222186904	222401612	128	0.3002
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	222401948	222484862	35	0.2058
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	222519278	223043718	281	-0.5165
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	223116005	229829193	3802	0.2607
PAGED_p_TCGA_182_OvGBM_SNP_N_GenomeWideSNP_6_D04_896216	1	229833440	234732186	3616	0.3145
